authority_id,issued_at,issued_by,latitude,longitude,location_name,incident_type,severity,title,description,affected_zones,affected_population,status,source
AUTH0011,2026-08-25T07:12:50Z,District_Authority_6,24.8333,92.7789,"Silchar, Assam",relief_distribution,low,"Official: Road Closure in Silchar, Assam","Verified authority action in Silchar, Assam district.",Z_24.8_92.8,43682,active,authority_portal
AUTH0012,2026-08-30T18:01:50Z,District_Authority_5,26.1445,91.7362,"Guwahati, Assam",landslide_warning,low,"Official: Evacuation Order in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,11258,lifted,authority_portal
AUTH0013,2026-08-14T07:07:50Z,District_Authority_7,24.817,93.9368,"Imphal, Manipur",road_closure,high,"Official: Rescue Operation in Imphal, Manipur","Verified authority action in Imphal, Manipur district.",Z_24.8_93.9,12790,active,authority_portal
AUTH0014,2026-08-13T17:41:50Z,District_Authority_8,24.333,93.683,"Churachandpur, Manipur",rescue_operation,high,"Official: Road Closure in Churachandpur, Manipur","Verified authority action in Churachandpur, Manipur district.",Z_24.3_93.7,27662,active,authority_portal
AUTH0015,2026-08-20T08:17:50Z,District_Authority_2,24.333,93.683,"Churachandpur, Manipur",relief_distribution,critical,"Official: Shelter Activation in Churachandpur, Manipur","Verified authority action in Churachandpur, Manipur district.",Z_24.3_93.7,33191,active,authority_portal
AUTH0016,2026-08-18T04:19:50Z,District_Authority_7,25.9,93.73,"Dimapur, Nagaland",relief_distribution,moderate,"Official: Shelter Activation in Dimapur, Nagaland","Verified authority action in Dimapur, Nagaland district.",Z_25.9_93.7,48373,active,authority_portal
AUTH0017,2026-08-28T08:16:50Z,District_Authority_6,25.5788,91.8933,"Shillong, Meghalaya",curfew,critical,"Official: Rescue Operation in Shillong, Meghalaya","Verified authority action in Shillong, Meghalaya district.",Z_25.6_91.9,18430,lifted,authority_portal
AUTH0018,2026-08-31T15:03:50Z,District_Authority_3,27.0844,93.6053,"Itanagar, Arunachal",shelter_activation,critical,"Official: Flood Alert in Itanagar, Arunachal","Verified authority action in Itanagar, Arunachal district.",Z_27.1_93.6,46473,under_review,authority_portal
AUTH0019,2026-08-30T07:07:50Z,District_Authority_4,25.284,91.726,"Cherrapunji, Meghalaya",rescue_operation,moderate,"Official: Flood Alert in Cherrapunji, Meghalaya","Verified authority action in Cherrapunji, Meghalaya district.",Z_25.3_91.7,45497,lifted,authority_portal
AUTH0020,2026-08-20T01:09:50Z,District_Authority_3,24.333,93.683,"Churachandpur, Manipur",landslide_warning,low,"Official: Landslide Warning in Churachandpur, Manipur","Verified authority action in Churachandpur, Manipur district.",Z_24.3_93.7,37349,lifted,authority_portal
AUTH0021,2026-08-22T08:09:50Z,District_Authority_7,24.8333,92.7789,"Silchar, Assam",flood_alert,critical,"Official: Evacuation Order in Silchar, Assam","Verified authority action in Silchar, Assam district.",Z_24.8_92.8,34757,active,authority_portal
AUTH0022,2026-08-29T01:51:50Z,District_Authority_1,26.1445,91.7362,"Guwahati, Assam",rescue_operation,high,"Official: Shelter Activation in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,19283,under_review,authority_portal
AUTH0023,2026-09-06T04:10:50Z,District_Authority_5,25.6751,94.1086,"Kohima, Nagaland",rescue_operation,low,"Official: Landslide Warning in Kohima, Nagaland","Verified authority action in Kohima, Nagaland district.",Z_25.7_94.1,30161,active,authority_portal
AUTH0024,2026-08-13T08:07:50Z,District_Authority_4,24.8333,92.7789,"Silchar, Assam",curfew,moderate,"Official: Flood Alert in Silchar, Assam","Verified authority action in Silchar, Assam district.",Z_24.8_92.8,45912,under_review,authority_portal
AUTH0025,2026-08-11T17:30:50Z,District_Authority_7,26.1445,91.7362,"Guwahati, Assam",landslide_warning,low,"Official: Evacuation Order in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,49237,lifted,authority_portal
AUTH0026,2026-08-21T15:01:50Z,District_Authority_4,23.7271,92.7176,"Aizawl, Mizoram",landslide_warning,moderate,"Official: Rescue Operation in Aizawl, Mizoram","Verified authority action in Aizawl, Mizoram district.",Z_23.7_92.7,19779,lifted,authority_portal
AUTH0027,2026-08-20T03:43:50Z,District_Authority_3,24.817,93.9368,"Imphal, Manipur",road_closure,critical,"Official: Evacuation Order in Imphal, Manipur","Verified authority action in Imphal, Manipur district.",Z_24.8_93.9,28582,lifted,authority_portal
AUTH0028,2026-09-02T01:44:50Z,District_Authority_5,25.9,93.73,"Dimapur, Nagaland",evacuation_order,high,"Official: Relief Distribution in Dimapur, Nagaland","Verified authority action in Dimapur, Nagaland district.",Z_25.9_93.7,47010,active,authority_portal
AUTH0029,2026-09-05T19:16:50Z,District_Authority_1,26.1445,91.7362,"Guwahati, Assam",flood_alert,critical,"Official: Landslide Warning in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,5276,under_review,authority_portal
AUTH0030,2026-08-24T22:43:50Z,District_Authority_2,27.0844,93.6053,"Itanagar, Arunachal",shelter_activation,critical,"Official: Curfew in Itanagar, Arunachal","Verified authority action in Itanagar, Arunachal district.",Z_27.1_93.6,6525,lifted,authority_portal
AUTH0031,2026-08-12T23:12:50Z,District_Authority_6,23.7271,92.7176,"Aizawl, Mizoram",landslide_warning,high,"Official: Flood Alert in Aizawl, Mizoram","Verified authority action in Aizawl, Mizoram district.",Z_23.7_92.7,14816,under_review,authority_portal
AUTH0032,2026-08-25T12:02:50Z,District_Authority_1,25.9,93.73,"Dimapur, Nagaland",road_closure,high,"Official: Relief Distribution in Dimapur, Nagaland","Verified authority action in Dimapur, Nagaland district.",Z_25.9_93.7,16251,under_review,authority_portal
AUTH0033,2026-08-11T10:39:50Z,District_Authority_1,24.8333,92.7789,"Silchar, Assam",landslide_warning,critical,"Official: Road Closure in Silchar, Assam","Verified authority action in Silchar, Assam district.",Z_24.8_92.8,25788,lifted,authority_portal
AUTH0034,2026-08-17T20:53:50Z,District_Authority_6,25.9,93.73,"Dimapur, Nagaland",relief_distribution,critical,"Official: Evacuation Order in Dimapur, Nagaland","Verified authority action in Dimapur, Nagaland district.",Z_25.9_93.7,19927,under_review,authority_portal
AUTH0035,2026-08-30T13:49:50Z,District_Authority_2,23.7271,92.7176,"Aizawl, Mizoram",shelter_activation,low,"Official: Road Closure in Aizawl, Mizoram","Verified authority action in Aizawl, Mizoram district.",Z_23.7_92.7,14313,under_review,authority_portal
AUTH0036,2026-08-16T22:59:50Z,District_Authority_7,26.7509,94.2037,"Jorhat, Assam",road_closure,moderate,"Official: Curfew in Jorhat, Assam","Verified authority action in Jorhat, Assam district.",Z_26.8_94.2,42873,active,authority_portal
AUTH0037,2026-08-20T01:53:50Z,District_Authority_8,26.6338,92.7926,"Tezpur, Assam",landslide_warning,low,"Official: Road Closure in Tezpur, Assam","Verified authority action in Tezpur, Assam district.",Z_26.6_92.8,5300,active,authority_portal
AUTH0038,2026-08-15T21:19:50Z,District_Authority_2,24.817,93.9368,"Imphal, Manipur",rescue_operation,high,"Official: Curfew in Imphal, Manipur","Verified authority action in Imphal, Manipur district.",Z_24.8_93.9,25930,lifted,authority_portal
AUTH0039,2026-08-28T16:34:50Z,District_Authority_1,26.7509,94.2037,"Jorhat, Assam",curfew,low,"Official: Evacuation Order in Jorhat, Assam","Verified authority action in Jorhat, Assam district.",Z_26.8_94.2,42536,under_review,authority_portal
AUTH0040,2026-09-07T06:17:50Z,District_Authority_1,24.8333,92.7789,"Silchar, Assam",road_closure,high,"Official: Road Closure in Silchar, Assam","Verified authority action in Silchar, Assam district.",Z_24.8_92.8,19494,under_review,authority_portal
